vessel_id,dwt,safety_score,main_engine_fuel_type,FC_me_total,FC_ae_total,FC_ab_total,FC_total,CO2eq,fuel_cost,carbon_cost,monthly_capex,total_monthly,adj_rate,risk_premium,final_cost
10007920,171810,1,DISTILLATE FUEL,345.264266044,79.17905262652776,18.303725666666658,442.74704433719444,1450.0333372344649,245768.88431157664,116002.66697875719,659582.25,1021353.8012903339,0.1,102135.3801290334,1123489.1814193672
10015840,49949,1,DISTILLATE FUEL,100.8133971075,23.463313335,102.85276725,227.1294776925,740.1032605158769,126079.57306710674,59208.26084127015,388420.6583333334,573708.4922417103,0.1,57370.849224171034,631079.3414658813
10023760,209878,1,DISTILLATE FUEL,185.5882478879778,35.330749517499996,0.0,220.9189974054778,719.163437869871,122632.13545978072,57533.07502958968,659582.25,839747.4604893704,0.1,83974.74604893704,923722.2065383075
10031680,179134,1,DISTILLATE FUEL,28.6292877295425,4.845368183638889,1.162667916666666,34.63732382984805,112.74795279853831,19227.178457948656,9019.836223883065,659582.25,687829.2646818317,0.1,68782.92646818317,756612.1911500149
10039600,49999,2,DISTILLATE FUEL,107.91568151026,19.28263675578333,95.1341265,222.33244476604332,723.9450932344195,123416.74008963065,57915.607458753555,388420.6583333334,569753.0058817177,0.05,28487.650294085885,598240.6561758035
10047510,87324,2,DISTILLATE FUEL,102.10369057497778,24.41635634866666,5.794203416666662,132.3142503403111,432.2472481267873,73447.64036390668,34579.779850142986,571637.9500000001,679665.3702140497,0.05,33983.26851070249,713648.6387247522
10055430,49990,1,DISTILLATE FUEL,67.90507126104167,18.394664233749996,91.39026375,177.68999924479166,579.2487660860168,98635.71858078387,46339.901286881344,388420.6583333334,533396.2782009987,0.1,53339.62782009987,586735.9060210985
10063350,63696,2,DISTILLATE FUEL,86.63413720694444,30.401150064999996,7.2420919999999995,124.27737927194444,413.3607496808855,68986.37323385637,33068.85997447084,586295.3333333334,688350.5665416606,0.05,34417.52832708303,722768.0948687436
10071270,119290,2,DISTILLATE FUEL,85.3380135574,28.318413135999997,6.541894666666663,120.19832136006666,393.9465927148852,66722.08818697301,31515.727417190814,571637.9500000001,669875.7656041639,0.05,33493.788280208195,703369.5538843721
10079190,46697,3,DISTILLATE FUEL,92.689827392613,31.042945505999988,145.3737575,269.106530398613,888.5031827017849,149381.03502427007,71080.25461614279,388420.6583333334,608881.9479737462,0.0,0.0,608881.9479737462
10087110,261085,2,DISTILLATE FUEL,213.55222733914667,51.1631874,11.226184166666659,275.94159890581335,927.1439865755468,153175.181552617,74171.51892604375,659582.25,886928.9504786608,0.05,44346.44752393304,931275.3980025938
10095030,115461,1,DISTILLATE FUEL,176.5698060438667,20.40523558033333,4.955418999999999,201.93046062420004,657.3038423778333,112091.59869249343,52584.30739022667,571637.9500000001,736313.8560827202,0.1,73631.38560827203,809945.2416909923
10102950,175108,1,DISTILLATE FUEL,118.4753656142,43.75312736258333,10.560673749999998,172.78916672678335,581.5365539420625,95915.26645003742,46522.924315365,659582.25,802020.4407654024,0.1,80202.04407654025,882222.4848419427
10110870,210800,2,DISTILLATE FUEL,173.4016347766088,31.80658587475,7.019657333333329,212.22787798469213,692.8536338127124,117807.6950693026,55428.29070501699,659582.25,832818.2357743196,0.05,41640.91178871598,874459.1475630356
10118790,180575,1,DISTILLATE FUEL,99.6094152,31.23676293111111,7.168989916666662,138.0151680477778,453.797654048852,76612.21978332144,36303.81232390816,659582.25,772498.2821072296,0.1,77249.82821072296,849748.1103179526
10126700,209988,1,DISTILLATE FUEL,152.8699356246,25.042592952,5.649071999999998,183.5616005766,599.6563373149804,101895.04448007066,47972.50698519843,659582.25,809449.8014652691,0.1,80944.98014652691,890394.781611796
10134620,209997,5,DISTILLATE FUEL,152.72628153888888,17.297700035,3.7843959999999974,173.80837757388886,565.7636498407655,96481.03039126573,45261.09198726124,659582.25,801324.372378527,-0.05,-40066.21861892635,761258.1537596006
10142540,208086,1,DISTILLATE FUEL,176.5128713995778,30.742683955499995,6.996368749999995,214.25192410507776,697.7349991259306,118931.24307072867,55818.79993007445,659582.25,834332.2930008031,0.1,83433.22930008032,917765.5223008834
10150460,262781,1,DISTILLATE FUEL,130.84079543866667,44.056717979999995,9.685456,184.58296941866666,615.9860752004215,102462.00632430188,49278.88601603372,659582.25,811323.1423403355,0.1,81132.31423403356,892455.4565743691
10158380,49999,1,DISTILLATE FUEL,106.94545424062501,19.162903446166663,94.23560775,220.34396543679168,717.3529918689123,122312.93521396306,57388.23934951299,388420.6583333334,568121.8328968094,0.1,56812.18328968095,624934.0161864904
10166300,48555,3,DISTILLATE FUEL,93.65408728293335,21.963401959999995,92.48988675,208.10737599293333,677.6468415971209,115520.40441367732,54211.74732776967,388420.6583333334,558152.8100747804,0.0,0.0,558152.8100747804
10174220,203028,3,DISTILLATE FUEL,233.95098541833335,26.91497148333333,6.335847499999999,267.20180440166666,872.4107123048644,148323.72162336519,69792.85698438916,659582.25,877698.8286077543,0.0,0.0,877698.8286077543
10182140,40503,5,DISTILLATE FUEL,55.330699331249996,22.359304716666664,4.886781249999997,82.57678529791666,268.8970574989563,45838.37351887354,21511.764599916503,388420.6583333334,455770.79645212344,-0.05,-22788.539822606173,432982.25662951724
10190060,207396,2,DISTILLATE FUEL,119.58231254941667,31.80319105133333,6.603464583333329,157.98896818408332,518.0435557056528,87699.67623898466,41443.48445645222,659582.25,788725.4106954369,0.05,39436.270534771844,828161.6812302087
